time, x, y, z
15.727, 0.0094541516155, 0.984092803956, -4.82173035444
15.748, 0.00933546200395, 0.997437438966, -4.82234261351
15.767, 0.00918428041041, 0.973792510988, -4.82282898725
15.788, 0.009018429555, 0.967948089601, -4.82315514387
15.808, 0.00881390273571, 0.9523571167, -4.82337925734
15.827, 0.00860293675214, 0.955019470216, -4.82350800337
15.847, 0.00837212707847, 0.948208801271, -4.82392475921
15.867, 0.0081029785797, 0.940255981447, -4.82427380384
15.887, 0.0078361807391, 0.923363067628, -4.82437441665
15.907, 0.00756162544712, 0.924164978029, -4.82451603712
15.927, 0.00729955313727, 0.93006112671, -4.82484791594
15.948, 0.00696770800278, 0.923410888673, -4.82537005263
15.967, 0.00672389799729, 0.962598510743, -4.82566712218
15.987, 0.00642315344885, 0.96303857422, -4.82623598875
16.008, 0.00612627808005, 0.982599578859, -4.8268615991
16.027, 0.00578646268696, 0.962804809571, -4.82757447065
16.048, 0.00545180914924, 1.00227593994, -4.82817623931
16.067, 0.00510923843831, 0.971636444093, -4.8286907466
16.087, 0.00480206869543, 1.02999414063, -4.82919667067
16.107, 0.00443161046132, 1.01015145874, -4.82970879393
16.128, 0.00409636506811, 1.03917245483, -4.83049605208
16.148, 0.00376069941558, 1.03791879273, -4.83156130613
16.168, 0.00341631728224, 1.03681939697, -4.83258650602
16.187, 0.00312980776653, 1.05413186646, -4.83337948638
16.207, 0.00281835626811, 1.06179101563, -4.8344499858
16.228, 0.00249521643855, 1.07932214356, -4.8356268199
16.248, 0.00219344184734, 1.07606195068, -4.83662245573
16.267, 0.00192589871585, 1.09172265625, -4.83745596724
16.288, 0.00159168208484, 1.09809197998, -4.83853171187
16.308, 0.00127471378073, 1.08358987427, -4.83945915998
16.326, 0.00100127467886, 1.07805825806, -4.84002754988
16.346, 0.000733782595489, 1.08219644165, -4.84034893812
16.367, 0.000500256486703, 1.09549371338, -4.84052107634
16.387, 0.000269171956461, 1.09825646973, -4.84084818679
16.408, 8.00724883447e-05, 1.12010415649, -4.8408953935
16.429, -0.000112910216558, 1.13135629272, -4.84082196058
16.448, -0.000275685335509, 1.11182305908, -4.84053156691
16.467, -0.000431438966189, 1.13162561035, -4.83994028868
16.487, -0.000553956197109, 1.11072839355, -4.83914444746
16.507, -0.0006575746811, 1.09910256958, -4.83836672622
16.528, -0.000746473961044, 1.12696389771, -4.83756802398
16.548, -0.000829186988994, 1.13407540894, -4.83677981199
16.568, -0.000904250657186, 1.0903951416, -4.83592150527
16.588, -0.000972762936726, 1.09627832031, -4.83520720304
16.606, -0.00103876076173, 1.10177453613, -4.83476088346
16.63, -0.00110937829595, 1.10626702881, -4.83418009581
16.648, -0.00116794533096, 1.0908210144, -4.83357165159
16.666, -0.00121629796922, 1.05467477417, -4.83272860366
16.688, -0.00125032186043, 1.06745996094, -4.83156130629
16.708, -0.00125862995628, 1.08081231689, -4.83052323164
16.729, -0.00124261889141, 1.04263238525, -4.82935498076
16.748, -0.00118559773546, 0.973006225586, -4.82865784484
16.769, -0.00114428892266, 1.04668756103, -4.82843754591
16.787, -0.00109467038419, 0.966187835693, -4.82815955001
16.807, -0.0010746497428, 1.02988656616, -4.82796929182
16.827, -0.00105170928873, 0.999818359374, -4.82740662397
16.847, -0.00103623827454, 1.0014486084, -4.82682631331
16.868, -0.0010175567586, 0.99156564331, -4.82617686094
16.887, -0.000981687568128, 0.982537628173, -4.82571909743
16.907, -0.00091530388454, 0.973015380859, -4.82530234176
16.927, -0.000827575859148, 0.932945495605, -4.82511256057
16.947, -0.000740057963412, 0.953825927734, -4.82470295745
16.967, -0.000646927161142, 0.964614807129, -4.82416317762
16.988, -0.000527238356881, 0.923194061279, -4.82366154493
17.008, -0.000423077086452, 0.933528991699, -4.82328484374
17.03, -0.000307341775624, 0.943049255371, -4.82315466719
17.05, -0.000150644802488, 0.869621520996, -4.82300064863
17.067, -1.60219187819e-05, 0.838615356446, -4.82300494017
17.088, 8.5358893557e-05, 0.880244384766, -4.82295439543
17.107, 0.000216334403376, 0.859009338379, -4.82280466872
17.127, 0.000343924504705, 0.867759033204, -4.82256291228
17.144, 0.000464456388727, 0.807075439454, -4.82220528441
17.168, 0.000590675510466, 0.855848022462, -4.82160637694
17.187, 0.000722795666661, 0.814099670411, -4.82090590316
17.208, 0.000842726440169, 0.833538146974, -4.82033560592
17.227, 0.000978872412816, 0.77134515381, -4.82002995314
17.248, 0.00109410111327, 0.790806518556, -4.82003901304
17.268, 0.0012136065634, 0.759762207033, -4.82001040281
17.287, 0.00132671021856, 0.779315124513, -4.8200795442
17.308, 0.00144513498526, 0.768385253908, -4.82020972074
17.328, 0.001567588537, 0.757623229982, -4.82031939329
17.349, 0.00171573192347, 0.735565429689, -4.82046530546
17.367, 0.00182874256279, 0.726907897951, -4.82078001815
17.388, 0.00197187438607, 0.726593872072, -4.8211734088
17.407, 0.00210483046249, 0.70765740967, -4.82162115889
17.427, 0.00225519109517, 0.688258911135, -4.82230303603
17.447, 0.00240280432627, 0.679778076174, -4.82322714644
17.467, 0.00254566036165, 0.692138610842, -4.82412836851
17.488, 0.00270126247779, 0.674151550295, -4.82509157957
17.508, 0.00283830938861, 0.667290283206, -4.82616207915
17.527, 0.00298507418483, 0.650066162112, -4.82759831267
17.549, 0.00310780364089, 0.684168334964, -4.82901642638
17.561, 0.00324680400081, 0.587653747561, -4.83093188124
17.59, 0.00338839879259, 0.661266723636, -4.83322213012
17.607, 0.00351419905201, 0.615837646487, -4.83553145247
17.627, 0.00363210891373, 0.631013427737, -4.83785698713
17.649, 0.00375325512141, 0.636263366702, -4.84037945586
17.667, 0.00386001425795, 0.642272888187, -4.84276078047
17.688, 0.00398814212531, 0.627739807132, -4.84580061751
17.708, 0.00409802934155, 0.634159179691, -4.84852955657
17.728, 0.00421296618879, 0.630713745121, -4.85145972091
17.748, 0.00432455120608, 0.61760400391, -4.85440371336
17.767, 0.00444037187845, 0.614743896488, -4.85752508956
17.787, 0.0045453319326, 0.602528930668, -4.86038563567
17.809, 0.00465810438618, 0.61050042725, -4.86352465468
17.827, 0.00475695822388, 0.60901025391, -4.8663565904
17.848, 0.00484327133745, 0.637943969731, -4.86889765562
17.867, 0.00494813686237, 0.596925903325, -4.8723280223
17.887, 0.00502909207717, 0.586438537602, -4.8753988536
17.907, 0.00510446215048, 0.58635766602, -4.87824890929
17.927, 0.00518230348825, 0.596643005376, -4.88109896482
17.948, 0.00526190409437, 0.587338195806, -4.88406060041
17.967, 0.00533092161641, 0.59829705811, -4.88670752348
17.987, 0.00539966626093, 0.5896505127, -4.88944123107
18.008, 0.00546545628458, 0.60133966065, -4.89210961164
18.027, 0.00553430384025, 0.583438659673, -4.89483568984
18.048, 0.0056027895771, 0.605827575689, -4.89756510557
18.068, 0.0056596910581, 0.6180779419, -4.89985249358
18.088, 0.00572061724961, 0.610766540533, -4.90235493483
18.107, 0.0057757073082, 0.613607727056, -4.9047825128
18.127, 0.00582195678726, 0.626412902838, -4.90703890623
18.147, 0.00586665794253, 0.609783874517, -4.90957854094
18.167, 0.00589567422867, 0.642463623053, -4.91147444548
18.187, 0.00592775037512, 0.605867248541, -4.91371891814
18.208, 0.00595592195168, 0.649354797369, -4.91594288649
18.23, 0.005976641085, 0.652775817877, -4.91800663771
18.247, 0.00599680608138, 0.577381835944, -4.92055676283
18.269, 0.00600666087121, 0.669561096198, -4.92167923766
18.287, 0.0060269725509, 0.63362634278, -4.92367766219
18.307, 0.00604165019467, 0.666982971198, -4.92526314558
18.334, 0.00605529733002, 0.741093994147, -4.92705843764
18.347, 0.00606689741835, 0.60554406739, -4.9289147647
18.368, 0.00606496213004, 0.707730957038, -4.92981884795
18.387, 0.00603782106191, 0.662043701179, -4.93147347273
18.407, 0.00601136684418, 0.655586791999, -4.93267557936
18.427, 0.00599134201184, 0.659068847663, -4.93378708678
18.447, 0.0059762801975, 0.662489868171, -4.93480418044
18.47, 0.00596457859501, 0.705834594734, -4.93577931243
18.487, 0.00596392760053, 0.639939208992, -4.93689368087
18.507, 0.00597025454044, 0.682213378914, -4.93744108992
18.53, 0.00597176048905, 0.715617004402, -4.93815586882
18.548, 0.00595224881545, 0.688862548836, -4.93881104292
18.567, 0.0059239952825, 0.682146240242, -4.93938658553
18.588, 0.00589303672314, 0.675498596199, -4.9399387628
18.607, 0.00586039014161, 0.688934875496, -4.9404256137
18.628, 0.00582877593115, 0.712281738289, -4.94086191954
18.646, 0.0058159083128, 0.695885864266, -4.94125769438
18.667, 0.00583636807278, 0.729370056161, -4.94157812895
18.687, 0.0058611202985, 0.723284851083, -4.94187853636
18.707, 0.00584592437372, 0.697434021005, -4.94209835845
18.727, 0.0058133834973, 0.711032653817, -4.94223044234
18.747, 0.00576835032552, 0.705008483896, -4.94229863005
18.768, 0.00570223201066, 0.738403259286, -4.94228956999
18.788, 0.00557510228828, 0.742310424814, -4.9421798976
18.808, 0.00544688943774, 0.735952697763, -4.94204304518
18.827, 0.00536397285759, 0.749488159189, -4.9417974742
18.85, 0.00531797343865, 0.762871032724, -4.94154951872
18.868, 0.00528631405905, 0.756108947763, -4.94118569213
18.887, 0.00527505390346, 0.739194274912, -4.9407245906
18.908, 0.00528558297083, 0.751961303721, -4.94027827102
18.927, 0.00528476014733, 0.754726196299, -4.9397904666
18.949, 0.00523021863773, 0.777399536143, -4.9392244609
18.969, 0.00511173252016, 0.760251708994, -4.93861220198
18.988, 0.00500058243051, 0.772524963389, -4.93805954756
19.007, 0.00489458302036, 0.755096984873, -4.93737576323
19.027, 0.00484070600942, 0.767442260752, -4.93671152891
19.048, 0.00488655362278, 0.809619689952, -4.93592331709
19.067, 0.00508687179536, 0.761545349132, -4.93498776275
19.087, 0.00543361576274, 0.763181091319, -4.93398306685
19.107, 0.00587940402329, 0.774580322276, -4.93288061918
19.127, 0.00635757669806, 0.785684143077, -4.93185589613
19.147, 0.0069455425255, 0.76672052003, -4.93068096937
19.168, 0.00741136725992, 0.787460266124, -4.92962858976
19.188, 0.00789653323591, 0.778305908214, -4.92823765593
19.207, 0.00824096985161, 0.768959594738, -4.9271733554
19.226, 0.00856037065387, 0.75954248048, -4.92622444929
19.249, 0.00888694636524, 0.780060058605, -4.92522118391
19.267, 0.0091599682346, 0.800351806652, -4.92436478453
19.287, 0.00958030298352, 0.770512939465, -4.92319462615
19.307, 0.0100667933002, 0.780416809094, -4.92206690611
19.328, 0.0105810724199, 0.800139709484, -4.92089102584
19.349, 0.0111950458959, 0.789711242688, -4.91923163237
19.368, 0.0117202075198, 0.799182373059, -4.91797421278
19.387, 0.0122457118705, 0.698475891125, -4.91688797773
19.408, 0.0127215981483, 0.777685485852, -4.91573689283
19.428, 0.0131849050522, 0.776780639661, -4.91438744368
19.449, 0.0136861996725, 0.805662170423, -4.91296217757
19.467, 0.0141954757273, 0.794309326184, -4.91198418456
19.487, 0.0147418966517, 0.792656799329, -4.91106627303
19.508, 0.0152672231197, 0.780844055189, -4.91012499632
19.528, 0.0157641507685, 0.778861328138, -4.90892241317
19.544, 0.016165426001, 0.747012573255, -4.9077384265
19.569, 0.0165254026651, 0.795039611829, -4.90662548841
19.587, 0.0168495010585, 0.742909790052, -4.90537665206
19.607, 0.0170739069581, 0.761169982923, -4.90446541625
19.627, 0.0173037499189, 0.779219909681, -4.90356800872
19.647, 0.0175193101168, 0.767277465834, -4.90277455152
19.668, 0.0177272278816, 0.745325256361, -4.90179083663
19.687, 0.0178955961019, 0.723472229018, -4.90066931547
19.707, 0.0180055312812, 0.731796813979, -4.89945957976
19.729, 0.0180578995496, 0.750276123061, -4.89822457136
19.747, 0.0180543288589, 0.74871514894, -4.89701721968
19.768, 0.0180038437247, 0.7872249756, -4.89610741454
19.787, 0.0179055798799, 0.735570312514, -4.8953497203
19.807, 0.0177848767489, 0.754049621596, -4.89484141172
19.827, 0.0176107659936, 0.752435241714, -4.89440796675
19.847, 0.0173638761044, 0.730711914077, -4.89412520247
19.867, 0.0170654114336, 0.708841491714, -4.89407370406
19.888, 0.0168055556715, 0.747277160659, -4.89407656508
19.908, 0.0164997242391, 0.735494934097, -4.89417813124
19.927, 0.0161748472601, 0.713666931167, -4.89448521437
19.947, 0.0158304907382, 0.731823669449, -4.89489577116
19.967, 0.0154495583847, 0.71989434816, -4.89531920256
19.987, 0.0150721240789, 0.738073974625, -4.8957779199
20.007, 0.0147004630417, 0.716332031265, -4.89633343535
20.027, 0.0142971267924, 0.714519287125, -4.89696524459
20.051, 0.0138823892921, 0.762767578141, -4.89758704008
20.068, 0.0133429672569, 0.660606323258, -4.89833472074
20.087, 0.0130594037473, 0.719508300797, -4.89875910582
20.108, 0.0126820271835, 0.718079162613, -4.89936182814
20.127, 0.0122749125585, 0.716584716813, -4.89998934568
20.148, 0.0118925003335, 0.715260253922, -4.90055964292
20.167, 0.0114936688915, 0.723981567399, -4.90115902739
20.187, 0.0110701695085, 0.712718139665, -4.90177796186
20.207, 0.0106354542077, 0.701500488298, -4.90232203322
20.228, 0.0102181266993, 0.730422302263, -4.90281031447
20.247, 0.00978815089911, 0.709349609392, -4.90337059813
20.267, 0.00935300160199, 0.688290039079, -4.90407297911
20.287, 0.00894606299698, 0.697301269548, -4.90491030532
20.307, 0.00856583658606, 0.716451965349, -4.90558979811
20.326, 0.00814299844205, 0.675596252458, -4.90627119841
20.348, 0.00778950704262, 0.704907165544, -4.90700362028
20.367, 0.00740677071735, 0.684246459978, -4.90783474745
20.387, 0.0070041581057, 0.693631530779, -4.90871022063
20.407, 0.00661496538669, 0.703095031756, -4.90959189254
20.427, 0.00620508845896, 0.70258691408, -4.91054461318
20.447, 0.0057741785422, 0.692152954119, -4.91152069884
20.468, 0.00538374437019, 0.701873718279, -4.91243861021
20.487, 0.00503221713006, 0.701708923358, -4.91336415113
20.508, 0.00471477163956, 0.711622558612, -4.91426680387
20.527, 0.0043839677237, 0.701595092791, -4.91515515166
20.549, 0.00403325213119, 0.721616760272, -4.91609261351
20.567, 0.003742888337, 0.691637207049, -4.91686795073
20.587, 0.00344018009491, 0.691686035175, -4.91768381911
20.607, 0.00313535123132, 0.7017348633, -4.91865132154
