ax,ay,az,gx,gy,gz,mx,my,mx
-1.34554,-3.88818,5.33428,0.320332,2.05182,0.612993,10.1197,31.6318,31.5246
-1.28329,-4.00311,5.39653,0.337359,2.04331,0.615122,10.1197,31.6318,31.5246
-1.34075,-3.98874,5.43005,0.348001,2.04012,0.609801,10.1197,31.6318,31.5246
-1.29766,-3.82593,5.34386,0.363965,2.03799,0.607672,10.1197,31.6318,31.5246
-1.39343,-3.80199,5.13796,0.363965,2.0316,0.601287,10.1197,31.6318,31.5246
-1.31202,-3.87861,5.31034,0.372478,2.02415,0.602351,10.1197,31.6318,31.5246
-1.38864,-3.91691,4.94642,0.389506,2.01351,0.600222,10.1197,31.6318,31.5246
-1.47483,-3.95522,5.00867,0.403341,2.00606,0.598094,10.1197,31.6318,31.5246
-1.5275,-3.96959,4.9129,0.413983,1.99968,0.598094,10.1197,31.6318,31.5246
-1.37906,-3.93128,5.06134,0.431011,1.98797,0.58958,11.185,45.2139,34.6254
-1.46525,-3.84988,5.0374,0.433139,1.98159,0.587452,11.185,45.2139,34.6254
-1.5706,-3.77326,5.00388,0.439525,1.97626,0.593837,11.185,45.2139,34.6254
-1.6089,-3.73974,5.04698,0.455488,1.96775,0.586388,11.185,45.2139,34.6254
-1.61369,-3.78284,5.00388,0.467194,1.95392,0.585323,11.185,45.2139,34.6254
-1.64721,-3.83072,4.92248,0.472516,1.94008,0.580002,11.185,45.2139,34.6254
-1.7334,-3.91691,4.96079,0.483158,1.93582,0.581066,11.185,45.2139,34.6254
-1.78607,-3.87382,5.0805,0.492736,1.92092,0.580002,11.185,45.2139,34.6254
-1.77171,-3.89297,5.03261,0.502314,1.91135,0.575745,11.185,45.2139,34.6254
-1.81959,-3.74932,4.82671,0.510828,1.9007,0.57681,11.185,45.2139,34.6254
-1.81959,-3.80199,4.91769,0.523598,1.89219,0.578938,11.185,45.2139,34.6254
-1.85311,-3.82593,4.9129,0.531048,1.87942,0.578938,11.185,45.2139,34.6254
-1.87227,-3.8403,4.84586,0.54169,1.86452,0.572553,11.185,45.2139,34.6254
-1.91536,-3.9648,4.78362,0.547011,1.85814,0.570424,11.185,45.2139,34.6254
-1.92973,-3.96959,4.65912,0.559782,1.84643,0.571488,11.185,45.2139,34.6254
-1.9393,-3.99353,4.76446,0.573617,1.83153,0.568296,11.185,45.2139,34.6254
-2.06859,-3.92649,4.81713,0.578938,1.8177,0.572553,11.185,45.2139,34.6254
-2.02071,-3.8834,4.81713,0.586388,1.80812,0.572553,11.185,45.2139,34.6254
-2.08774,-3.78763,4.80277,0.594901,1.79747,0.56936,11.185,45.2139,34.6254
-2.10211,-3.82593,4.59687,0.604479,1.7847,0.571488,11.185,45.2139,34.6254
-2.17394,-3.85466,4.86981,0.614057,1.77193,0.570424,11.185,45.2139,34.6254
-2.15957,-3.86424,4.76446,0.619379,1.75916,0.570424,11.185,45.2139,34.6254
-2.20267,-3.95043,4.82192,0.626828,1.74958,0.571488,11.185,45.2139,34.6254
-2.16915,-3.86903,4.75488,0.640663,1.73256,0.577874,11.185,45.2139,34.6254
-2.26491,-3.98874,4.77404,0.653434,1.72085,0.577874,11.185,45.2139,34.6254
-2.25534,-3.89297,4.81235,0.664076,1.71447,0.580002,11.185,45.2139,34.6254
-2.42293,-3.8403,4.82192,0.670461,1.70063,0.583195,11.185,45.2139,34.6254
-2.38941,-3.88818,4.707,0.681104,1.68786,0.581066,11.185,45.2139,34.6254
-2.32238,-3.90734,4.72137,0.698131,1.68041,0.586388,11.185,45.2139,34.6254
-2.41336,-3.87861,4.86502,0.707709,1.6719,0.584259,11.185,45.2139,34.6254
-2.47082,-3.70622,4.71658,0.716223,1.65913,0.58958,11.185,45.2139,34.6254
-2.43251,-3.82593,4.7501,0.728994,1.64742,0.598094,11.185,45.2139,34.6254
-2.42293,-3.83551,4.7884,0.742829,1.63358,0.599158,11.185,45.2139,34.6254
-2.50433,-3.72538,4.86981,0.753471,1.62401,0.605544,11.185,45.2139,34.6254
-2.62405,-3.70144,4.93684,0.764113,1.62294,0.606608,11.185,45.2139,34.6254
-2.6001,-3.65834,4.84586,0.776884,1.6123,0.610865,11.185,45.2139,34.6254
-2.52828,-3.72059,4.98473,0.794976,1.59102,0.612993,11.185,45.2139,34.6254
-2.62405,-3.72059,4.93206,0.802425,1.58569,0.618314,11.185,45.2139,34.6254
-2.57616,-3.67271,4.94642,0.807746,1.57931,0.621507,11.185,45.2139,34.6254
-2.58574,-3.7158,5.05655,0.820517,1.56973,0.620443,11.185,45.2139,34.6254
-2.75333,-3.75411,4.96079,0.831159,1.55909,0.630021,11.185,45.2139,34.6254
-2.63362,-3.61524,4.90811,0.847123,1.55164,0.635342,11.185,45.2139,34.6254
-2.77249,-3.68228,4.97036,0.855636,1.54845,0.636406,11.185,45.2139,34.6254
-2.72939,-3.58651,4.98473,0.870535,1.53887,0.643856,11.185,45.2139,34.6254
-2.82516,-3.65834,4.94642,0.882242,1.52823,0.642791,11.185,45.2139,34.6254
