ax,ay,az,gx,gy,gz,mx,my,mx
-0.138864,0.248997,9.5816,0.00957802,0.0127707,0.0117065,8.52188,26.0918,38.932
-0.105345,0.339977,9.59596,0.00638535,0.0159634,0.00638535,8.52188,26.0918,38.932
-0.071826,0.392649,9.5816,0.00744957,0.0148991,0.00532112,8.52188,26.0918,38.932
-0.105345,0.316035,9.61033,0.00744957,0.0138349,0.0106422,8.52188,26.0918,38.932
-0.158017,0.387861,9.48104,0.00851379,0.0159634,0.00851379,8.52188,26.0918,38.932
-0.134075,0.440533,9.40921,0.00744957,0.0138349,0.00744957,8.52188,26.0918,38.932
-0.0191536,0.373495,9.4954,0.00744957,0.0127707,0.00851379,8.52188,26.0918,38.932
-0.0670376,0.368707,9.61033,0.00744957,0.00851379,0.0127707,8.52188,26.0918,38.932
-0.0766145,0.363919,9.56244,0.00319267,0.0117065,0.0106422,8.52188,26.0918,38.932
-0.172383,0.349553,9.50977,0.00319267,0.0138349,0.00532112,8.52188,26.0918,38.932
-0.0383072,0.45011,9.54329,0.00744957,0.0138349,0.00532112,8.52188,26.0918,38.932
-0.0191536,0.411803,9.63906,0.0106422,0.0148991,0.00532112,8.52188,26.0918,38.932
-0.0670376,0.411803,9.57202,0.00532112,0.0170276,0.00638535,8.52188,26.0918,38.932
-0.114922,0.368707,9.5385,0.00851379,0.0117065,0.0106422,8.52188,26.0918,38.932
-0.181959,0.445322,9.52892,0.00532112,0.0138349,0.00638535,8.52188,26.0918,38.932
-0.071826,0.426168,9.47625,0.00638535,0.0138349,0.0127707,8.52188,26.0918,38.932
-0.0047884,0.402226,9.48583,0.00638535,0.00957802,0.0106422,8.52188,26.0918,38.932
-0.0909797,0.368707,9.53371,0.00212845,0.00851379,0.00851379,8.52188,26.0918,38.932
-0.11971,0.339977,9.39485,0.00319267,0.0170276,0.0117065,8.52188,26.0918,38.932
-0.114922,0.373495,9.58638,0.0106422,0.0138349,0.00851379,8.52188,26.0918,38.932
-0.100556,0.445322,9.63427,0.00851379,0.0127707,0.00851379,8.52188,26.0918,38.932
0,0.42138,9.56244,0.00744957,0.0117065,0.0138349,8.52188,26.0918,38.932
